t,vx,vy,x,y
1.0E-4,43.55486928974483,11.293086793270032,0.004355486928974483,0.0011293086793270032
2.0E-4,43.55038077183718,11.290941991767907,0.008710525006158203,0.0022584028785037936
3.0000000000000003E-4,43.545893203562194,11.288797537575798,0.013065114326514422,0.0033872826322613736
4.0E-4,43.54140658461925,11.286653430583405,0.01741925498497635,0.004515947975319714
5.0E-4,43.53692091470787,11.284509670680475,0.021772947076447138,0.005644398942387762
6.000000000000001E-4,43.53243619352768,11.282366257756802,0.026126190695799904,0.0067726355681634424
7.000000000000001E-4,43.52795242077845,11.280223191702229,0.030478985937877748,0.007900657887333665
8.000000000000001E-4,43.52346959616006,11.278080472406641,0.03483133289749375,0.009028465934574329
9.000000000000002E-4,43.51898771937254,11.275938099759973,0.03918323166943101,0.010156059744550326
0.0010000000000000002,43.514506790116016,11.273796073652202,0.04353468234844261,0.011283439351915546
0.0011000000000000003,43.510026808090764,11.271654393973355,0.04788568502925169,0.012410604791312882
0.0012000000000000003,43.505547772997176,11.269513060613505,0.052236239806551406,0.013537556097374233
0.0013000000000000004,43.501069684535764,11.267372073462768,0.05658634677500498,0.01466429330472051
0.0014000000000000004,43.49659254240718,11.265231432411309,0.0609360060292457,0.01579081644796164
0.0015000000000000005,43.49211634631219,11.263091137349338,0.06528521766387692,0.016917125561696573
0.0016000000000000005,43.48764109595168,11.260951188167112,0.06963398177347209,0.018043220680513283
0.0017000000000000006,43.48316679102668,11.258811584754934,0.07398229845257476,0.019169101838988775
0.0018000000000000006,43.478693431238334,11.25667232700315,0.0783301677956986,0.02029476907168909
0.0019000000000000006,43.47422101628791,11.254533414802156,0.08267758989732739,0.021420222413169304
0.0020000000000000005,43.46974954587681,11.252394848042393,0.08702456485191506,0.022545461897973542
0.0021000000000000003,43.46527901970655,11.250256626614346,0.09137109275388572,0.023670487560634976
0.0022,43.46080943747878,11.248118750408551,0.09571717369763359,0.024795299435675832
0.0023,43.45634079889527,11.245981219315583,0.10006280777752312,0.02591989755760739
0.0024,43.45187310365791,11.243844033226068,0.10440799508788891,0.02704428196093
0.0024999999999999996,43.44740635146873,11.241707192030676,0.10875273572303579,0.028168452680133065
0.0025999999999999994,43.44294054202987,11.239570695620122,0.11309702977723878,0.029292409749695075
0.0026999999999999993,43.43847567504361,11.237434543885168,0.11744087734474314,0.03041615320408359
0.002799999999999999,43.43401175021234,11.235298736716622,0.12178427851976437,0.03153968307775525
0.002899999999999999,43.42954876723858,11.233163274005339,0.12612723339648824,0.03266299940515579
0.0029999999999999988,43.425086725824976,11.231028155642216,0.13046974206907072,0.03378610222072001
0.0030999999999999986,43.4206256256743,11.2288933815182,0.13481180463163814,0.03490899155887183
0.0031999999999999984,43.41616546648943,11.22675895152428,0.13915342117828708,0.03603166745402426
0.0032999999999999982,43.411706247973406,11.224624865551494,0.1434945918030844,0.03715412994057941
0.003399999999999998,43.407247969829356,11.222491123490922,0.14783531660006735,0.0382763790529285
0.003499999999999998,43.40279063176055,11.220357725233693,0.1521755956632434,0.03939841482545187
0.0035999999999999977,43.398334233470386,11.218224670670981,0.15651542908659044,0.04052023729251897
0.0036999999999999976,43.393878774662376,11.216091959694005,0.16085481696405668,0.04164184648848837
0.0037999999999999974,43.389424255040154,11.213959592194028,0.16519375938956068,0.042763242447707774
0.0038999999999999972,43.38497067430748,11.21182756806236,0.16953225645699144,0.04388442520451401
0.0039999999999999975,43.380518032168254,11.209695887190357,0.17387030826020827,0.045005394793233046
0.004099999999999998,43.37606632832648,11.20756454946942,0.17820791489304091,0.04612615124817999
0.004199999999999998,43.37161556248629,11.205433554790998,0.18254507644928955,0.04724669460365909
0.004299999999999998,43.36716573435194,11.20330290304658,0.18688179302272476,0.048367024893963745
0.0043999999999999985,43.36271684362782,11.201172594127705,0.19121806470708755,0.04948714215337652
0.004499999999999999,43.35826889001844,11.199042627925955,0.19555389159608938,0.050607046416169116
0.004599999999999999,43.35382187322841,11.19691300433296,0.19988927378341223,0.05172673771660241
0.004699999999999999,43.349375792962505,11.19478372324039,0.2042242113627085,0.05284621608892645
0.0048,43.34493064892558,11.192654784539966,0.20855870442760105,0.05396548156738045
0.0049,43.34048644082265,11.190526188123453,0.21289275307168332,0.055084534186192795
0.005,43.336043168358835,11.188397933882658,0.2172263573885192,0.05620337397958106
0.0051,43.33160083123938,11.18627002170944,0.22155951747164312,0.057322000981752004
0.005200000000000001,43.32715942916965,11.184142451495696,0.22589223341456008,0.058440415226901576
0.005300000000000001,43.32271896185514,11.182015223133371,0.2302245053107456,0.059558616749214914
0.005400000000000001,43.318279429001464,11.179888336514457,0.23455633325364575,0.06067660558286636
0.005500000000000001,43.31384083031436,11.177761791530989,0.23888771733667719,0.06179438176201946
0.005600000000000002,43.309403165499695,11.175635588075046,0.24321865765322714,0.06291194532082696
0.005700000000000002,43.30496643426345,11.173509726038757,0.2475491542966535,0.06402929629343083
0.005800000000000002,43.30053063631173,11.171384205314292,0.2518792073602847,0.06514643471396227
0.0059000000000000025,43.29609577135076,11.169259025793865,0.25620881693741976,0.06626336061654166
0.006000000000000003,43.29166183908689,11.167134187369738,0.2605379831213285,0.06738007403527863
0.006100000000000003,43.28722883922661,11.16500968993422,0.26486670600525114,0.06849657500427205
0.006200000000000003,43.282796771476505,11.162885533379658,0.2691949856823988,0.06961286355761001
0.0063000000000000035,43.278365635543295,11.16076171759845,0.27352282224595315,0.07072893972936986
0.006400000000000004,43.27393543113383,11.158638242483038,0.27785021578906655,0.07184480355361816
